date,value
2015/9/1,41019
2015/10/1,41038
2015/11/1,41057
2015/12/1,41076
2016/1/1,41095
2016/2/1,41114
2016/3/1,41133
2016/4/1,41152
2016/5/1,41171
2016/6/1,41190
2016/7/1,41209
2016/8/1,41228
2016/9/1,41247
2016/10/1,41266
2016/11/1,41285
2016/12/1,41304
2017/1/1,41323
2017/2/1,41342
2017/3/1,41361
2017/4/1,41380
2017/5/1,41399
2017/6/1,41418
2017/7/1,41437
2017/8/1,41456
2017/9/1,41475
2017/10/1,41494
2017/11/1,41513
2017/12/1,41532
2018/1/1,41551
2018/2/1,41570
2018/3/1,41589
2018/4/1,41608
2018/5/1,41627
2018/6/1,41646
2018/7/1,41665
2018/8/1,41684
2018/9/1,41703
2018/10/1,41722
2018/11/1,41741
2018/12/1,41760
2019/1/1,41779
2019/2/1,41798
2019/3/1,41817
2019/4/1,41836
2019/5/1,41855
2019/6/1,41874
2019/7/1,41893
2019/8/1,41912
2019/9/1,41931
2019/10/1,41950
2019/11/1,41969
2019/12/1,41988
2020/1/1,42007
2020/2/1,42026
2020/3/1,42045
2020/4/1,42064
2020/5/1,42083
2020/6/1,42102
2020/7/1,42121
2020/8/1,42140
2020/9/1,42159
2020/10/1,42178
2020/11/1,42197
2020/12/1,42216
2021/1/1,42235
2021/2/1,42254
2021/3/1,42273
2021/4/1,42292
2021/5/1,42311
2021/6/1,42330
2021/7/1,42349
2021/8/1,42368
2021/9/1,42387
2021/10/1,42406
2021/11/1,42425
2021/12/1,42444
2022/1/1,42463
2022/2/1,42482
2022/3/1,42501
2022/4/1,42520
2022/5/1,42539
2022/6/1,42558
2022/7/1,42577
2022/8/1,42596
2022/9/1,42615
2022/10/1,42634
2022/11/1,42653
2022/12/1,42672
2023/1/1,42691
2023/2/1,42710
2023/3/1,42729
2023/4/1,42748
2023/5/1,42767
2023/6/1,42786
2023/7/1,42805
2023/8/1,42824
2023/9/1,42843
2023/10/1,42862
2023/11/1,42881
2023/12/1,42900
2024/1/1,42919
2024/2/1,42938
2024/3/1,42957
2024/4/1,42976
2024/5/1,42995
2024/6/1,43014
2024/7/1,43033
2024/8/1,43052
2024/9/1,43071
2024/10/1,43090
2024/11/1,43109
2024/12/1,43128
2025/1/1,43147
2025/2/1,43166
2025/3/1,43185
2025/4/1,43204
2025/5/1,43266
2025/6/1,43295
2025/7/1,43318
2025/8/1,43341
2025/9/1,43364
