date,value
2019-02-01,41521
2019-03-01,41532
2019-04-01,41543
2019-05-01,41554
2019-06-01,41565
2019-07-01,41576
2019-08-01,41587
2019-09-01,41598
2019-10-01,41609
2019-11-01,41620
2019-12-01,41631
2020-01-01,41642
2020-02-01,41653
2020-03-01,41664
2020-04-01,41675
2020-05-01,41686
2020-06-01,41697
2020-07-01,41708
2020-08-01,41719
2020-09-01,41730
2020-10-01,41741
2020-11-01,41752
2020-12-01,41763
2021-01-01,41774
2021-02-01,41785
2021-03-01,41796
2021-04-01,41807
2021-05-01,41818
2021-06-01,41829
2021-07-01,41840
2021-08-01,41851
2021-09-01,41862
2021-10-01,41873
2021-11-01,41884
2021-12-01,41895
2022-01-01,41906
2022-02-01,41917
2022-03-01,41928
2022-04-01,41939
2022-05-01,41950
2022-06-01,41961
2022-07-01,41972
2022-08-01,41983
2022-09-01,41994
2022-10-01,42005
2022-11-01,42016
2022-12-01,42027
2023-01-01,42038
2023-02-01,42049
2023-03-01,42060
2023-04-01,42071
2023-05-01,42082
2023-06-01,42093
2023-07-01,42104
2023-08-01,42115
2023-09-01,42126
2023-10-01,42137
2023-11-01,42148
2023-12-01,42159
2024-01-01,42170
2024-02-01,42181
2024-03-01,42192
2024-04-01,42203
2024-05-01,42214
2024-06-01,42225
2024-07-01,42236
2024-08-01,42247
2024-09-01,42258
2024-10-01,42269
2024-11-01,42280
2024-12-01,42291
2025-01-01,42302
2025-02-01,42313
2025-03-01,42324
2025-04-01,42335
2025-05-01,43266
2025-06-01,43295
2025-07-01,43318
2025-08-01,43341
2025-09-01,43364
