date,value
2019-02-01,123.02
2019-03-01,122.29
2019-04-01,121.87
2019-05-01,120.95
2019-06-01,119.88
2019-07-01,118.76
2019-08-01,117.43
2019-09-01,116.21
2019-10-01,115.84
2019-11-01,114.92
2019-12-01,113.67
2020-01-01,112.45
2020-02-01,100
2020-03-01,72.31
2020-04-01,35.88
2020-05-01,39.74
2020-06-01,55.62
2020-07-01,64.91
2020-08-01,69.34
2020-09-01,73.28
2020-10-01,76.91
2020-11-01,79.44
2020-12-01,82.17
2021-01-01,84.95
2021-02-01,88.36
2021-03-01,92.71
2021-04-01,97.43
2021-05-01,102.68
2021-06-01,107.92
2021-07-01,111.48
2021-08-01,114.27
2021-09-01,116.83
2021-10-01,118.64
2021-11-01,120.33
2021-12-01,121.79
2022-01-01,123.02
2022-02-01,124.11
2022-03-01,125.48
2022-04-01,123.92
2022-05-01,121.67
2022-06-01,118.45
2022-07-01,114.82
2022-08-01,110.34
2022-09-01,106.21
2022-10-01,102.57
2022-11-01,99.48
2022-12-01,96.72
2023-01-01,94.88
2023-02-01,93.21
2023-03-01,92.47
2023-04-01,91.88
2023-05-01,91.24
2023-06-01,90.76
2023-07-01,90.33
2023-08-01,89.92
2023-09-01,89.48
2023-10-01,89.17
2023-11-01,88.94
2023-12-01,88.61
2024-01-01,88.32
2024-02-01,88.01
2024-03-01,87.74
2024-04-01,87.58
2024-05-01,87.43
2024-06-01,87.29
2024-07-01,87.18
2024-08-01,87.05
2024-09-01,87.01
2024-10-01,87.93
