date,value
2019-02-01,847
2019-03-01,845
2019-04-01,840
2019-05-01,835
2019-06-01,822
2019-07-01,823
2019-08-01,826
2019-09-01,824
2019-10-01,815
2019-11-01,809
2019-12-01,804
2020-01-01,803
2020-02-01,803
2020-03-01,793
2020-04-01,723
2020-05-01,635
2020-06-01,518
2020-07-01,459
2020-08-01,433
2020-09-01,402
2020-10-01,397
2020-11-01,413
2020-12-01,456
2021-01-01,501
2021-02-01,575
2021-03-01,638
2021-04-01,657
2021-05-01,701
2021-06-01,745
2021-07-01,789
2021-08-01,825
2021-09-01,873
2021-10-01,924
2021-11-01,987
2021-12-01,1034
2022-01-01,1060
2022-02-01,1094
2022-03-01,1126
2022-04-01,1149
2022-05-01,1266
2022-06-01,1298
2022-07-01,1303
2022-08-01,1301
2022-09-01,1294
2022-10-01,1274
2022-11-01,1211
2022-12-01,1157
2023-01-01,1134
2023-02-01,1106
2023-03-01,1085
2023-04-01,1046
2023-05-01,1019
2023-06-01,1014
2023-07-01,1013
2023-08-01,988
2023-09-01,949
2023-10-01,916
2023-11-01,908
2023-12-01,932
2024-01-01,938
2024-02-01,923
2024-03-01,908
2024-04-01,898
2024-05-01,882
2024-06-01,865
2024-07-01,842
2024-08-01,820
2024-09-01,802
2024-10-01,781
2024-11-01,764
2024-12-01,756
2025-01-01,749
2025-02-01,744
2025-03-01,742
2025-04-01,741
2025-05-01,739
2025-06-01,726
2025-07-01,722
2025-08-01,731
2025-09-01,725
