date,value
2015/9/1,741
2015/10/1,741
2015/11/1,746
2015/12/1,712
2016/1/1,735
2016/2/1,739
2016/3/1,748
2016/4/1,760
2016/5/1,772
2016/6/1,780
2016/7/1,789
2016/8/1,801
2016/9/1,808
2016/10/1,814
2016/11/1,820
2016/12/1,750
2017/1/1,821
2017/2/1,828
2017/3/1,836
2017/4/1,845
2017/5/1,853
2017/6/1,862
2017/7/1,872
2017/8/1,882
2017/9/1,892
2017/10/1,903
2017/11/1,914
2017/12/1,930
2018/1/1,940
2018/2/1,949
2018/3/1,958
2018/4/1,966
2018/5/1,974
2018/6/1,981
2018/7/1,988
2018/8/1,994
2018/9/1,999
2018/10/1,1004
2018/11/1,1009
2018/12/1,1020
2019/1/1,1025
2019/2/1,1030
2019/3/1,1035
2019/4/1,1040
2019/5/1,1044
2019/6/1,1048
2019/7/1,1052
2019/8/1,1056
2019/9/1,1060
2019/10/1,1064
2019/11/1,1068
2019/12/1,1074
2020/1/1,1070
2020/2/1,1055
2020/3/1,1010
2020/4/1,850
2020/5/1,650
2020/6/1,480
2020/7/1,450
2020/8/1,460
2020/9/1,500
2020/10/1,530
2020/11/1,560
2020/12/1,600
2021/1/1,620
2021/2/1,650
2021/3/1,690
2021/4/1,740
2021/5/1,790
2021/6/1,820
2021/7/1,850
2021/8/1,880
2021/9/1,900
2021/10/1,910
2021/11/1,920
2021/12/1,940
2022/1/1,960
2022/2/1,980
2022/3/1,1000
2022/4/1,1010
2022/5/1,1020
2022/6/1,1030
2022/7/1,1040
2022/8/1,1050
2022/9/1,1060
2022/10/1,1070
2022/11/1,1080
2022/12/1,1090
2023/1/1,1080
2023/2/1,1070
2023/3/1,1060
2023/4/1,1040
2023/5/1,1020
2023/6/1,1000
2023/7/1,980
2023/8/1,960
2023/9/1,940
2023/10/1,920
2023/11/1,900
2023/12/1,880
2024/1/1,860
2024/2/1,840
2024/3/1,820
2024/4/1,800
2024/5/1,780
2024/6/1,760
2024/7/1,750
2024/8/1,740
2024/9/1,730
2024/10/1,728
2024/11/1,726
2024/12/1,724
2025/1/1,722
2025/2/1,720
2025/3/1,718
2025/4/1,716
2025/5/1,726
2025/6/1,722
2025/7/1,731
2025/8/1,725
2025/9/1,725
