date,value
2015/9/1,0.5
2015/10/1,0.5
2015/11/1,0.5
2015/12/1,0.5
2016/1/1,0.5
2016/2/1,0.5
2016/3/1,0.5
2016/4/1,0.5
2016/5/1,0.5
2016/6/1,0.5
2016/7/1,0.5
2016/8/1,0.284090909
2016/9/1,0.25
2016/10/1,0.25
2016/11/1,0.25
2016/12/1,0.25
2017/1/1,0.25
2017/2/1,0.25
2017/3/1,0.25
2017/4/1,0.25
2017/5/1,0.25
2017/6/1,0.25
2017/7/1,0.25
2017/8/1,0.25
2017/9/1,0.25
2017/10/1,0.25
2017/11/1,0.25
2017/12/1,0.25
2018/1/1,0.5
2018/2/1,0.5
2018/3/1,0.5
2018/4/1,0.5
2018/5/1,0.5
2018/6/1,0.5
2018/7/1,0.5
2018/8/1,0.75
2018/9/1,0.75
2018/10/1,0.75
2018/11/1,0.75
2018/12/1,0.75
2019/1/1,0.75
2019/2/1,0.75
2019/3/1,0.75
2019/4/1,0.75
2019/5/1,0.75
2019/6/1,0.75
2019/7/1,0.75
2019/8/1,0.75
2019/9/1,0.75
2019/10/1,0.75
2019/11/1,0.75
2019/12/1,0.75
2020/1/1,0.75
2020/2/1,0.383333333
2020/3/1,0.1
2020/4/1,0.1
2020/5/1,0.1
2020/6/1,0.1
2020/7/1,0.1
2020/8/1,0.1
2020/9/1,0.1
2020/10/1,0.1
2020/11/1,0.1
2020/12/1,0.1
2021/1/1,0.1
2021/2/1,0.1
2021/3/1,0.1
2021/4/1,0.1
2021/5/1,0.1
2021/6/1,0.1
2021/7/1,0.1
2021/8/1,0.1
2021/9/1,0.1
2021/10/1,0.1
2021/11/1,0.1
2021/12/1,0.25
2022/1/1,0.25
2022/2/1,0.5
2022/3/1,0.75
2022/4/1,0.75
2022/5/1,1
2022/6/1,1.25
2022/7/1,1.25
2022/8/1,1.75
2022/9/1,2.25
2022/10/1,2.25
2022/11/1,3
2022/12/1,3.5
2023/1/1,3.5
2023/2/1,4
2023/3/1,4.25
2023/4/1,4.25
2023/5/1,4.5
2023/6/1,5
2023/7/1,5
2023/8/1,5.25
2023/9/1,5.25
2023/10/1,5.25
2023/11/1,5.25
2023/12/1,5.25
2024/1/1,5.25
2024/2/1,5.25
2024/3/1,5.25
2024/4/1,5.25
2024/5/1,5.25
2024/6/1,5.25
2024/7/1,5.25
2024/8/1,5
2024/9/1,5
2024/10/1,5
2024/11/1,4.797619048
2024/12/1,4.75
2025/1/1,4.75
2025/2/1,4.5375
2025/3/1,4.5
2025/4/1,4.5
2025/5/1,4.3
2025/6/1,4.25
2025/7/1,4.25
2025/8/1,4.05
2025/9/1,4
